time,velocity_x,acceleration
1.6241917610168457,2.7734375,-0.531
1.7242851257324219,2.736545138888889,-0.531
1.8244404792785645,2.6953125,-0.531
1.9270751476287842,2.6519097222222223,-0.531
2.024559497833252,2.6171875,-0.531
2.1242780685424805,2.5737847222222223,-0.531
2.224000930786133,2.536892361111111,-0.531
2.3243327140808105,2.4956597222222223,-0.531
2.424333095550537,2.452256944444444,-0.531
2.5246970653533936,2.4110243055555554,-0.531
2.6249680519104004,2.3719618055555554,-0.531
2.724473237991333,2.3372395833333335,-0.531
2.8243980407714844,2.296006944444444,-0.531
2.928602457046509,2.2417534722222223,-0.531
3.0237865447998047,2.2135416666666665,-0.531
3.1247758865356445,2.16796875,-0.531
3.2246077060699463,2.126736111111111,-0.531
3.3236663341522217,2.081163194444444,-0.531
3.332573413848877,2.0746527777777777,-0.523
3.3444557189941406,2.0746527777777777,-0.499
3.3567681312561035,2.061631944444444,-0.475
3.3645577430725098,2.061631944444444,-0.443
3.380513906478882,2.0551215277777777,-0.419
3.404810667037964,2.0464409722222223,-0.388
3.416555643081665,2.0377604166666665,-0.356
3.4244279861450195,2.0377604166666665,-0.356
3.4365997314453125,2.0269097222222223,-0.324
3.44441819190979,2.0269097222222223,-0.3
3.4686942100524902,2.01171875,-0.284
3.476562976837158,2.01171875,-0.268
3.496547222137451,2.003038194444444,-0.252
3.5084476470947266,1.9943576388888888,-0.244
3.5243027210235596,1.9943576388888888,-0.244
3.528460741043091,1.9856770833333333,-0.228
3.5449321269989014,1.9856770833333333,-0.22
3.556525945663452,1.9748263888888888,-0.212
3.5726304054260254,1.97265625,-0.204
3.588679075241089,1.9618055555555556,-0.196
3.6242799758911133,1.9574652777777777,-0.196
3.6327972412109375,1.9466145833333333,-0.188
3.7243847846984863,1.9140625,-0.188
3.8247268199920654,1.8771701388888888,-0.188
3.9270501136779785,1.8294270833333333,-0.188
4.023848533630371,1.8012152777777777,-0.188
4.124109268188477,1.7621527777777777,-0.188
4.2244346141815186,1.7274305555555556,-0.188
4.324844121932983,1.6861979166666665,-0.188
4.353792905807495,1.6731770833333333,-0.173
4.38087010383606,1.6623263888888888,-0.125
4.388664484024048,1.66015625,-0.093
4.408869028091431,1.6493055555555556,-0.053
4.421018362045288,1.6493055555555556,-0.013
4.423877000808716,1.6493055555555556,-0.013
4.4411234855651855,1.6427951388888888,0.027
4.448858022689819,1.6384548611111112,0.058
4.477267503738403,1.6319444444444444,0.09
4.485074043273926,1.6319444444444444,0.122
4.50137734413147,1.62109375,0.146
4.517493486404419,1.6124131944444444,0.178
4.5244550704956055,1.6124131944444444,0.178
4.533653497695923,1.6080729166666665,0.202
4.545228481292725,1.6080729166666665,0.218
4.561092138290405,1.5993923611111112,0.234
4.577133893966675,1.5928819444444444,0.25
4.593183755874634,1.5907118055555556,0.258
4.624241352081299,1.5733506944444444,0.258
4.629156589508057,1.5711805555555556,0.265
4.7242431640625,1.5473090277777777,0.265
4.82454252243042,1.5364583333333333,0.265
4.927107334136963,1.5234375,0.265
5.024961233139038,1.5234375,0.265
5.1239142417907715,1.5277777777777777,0.265
5.224156379699707,1.5321180555555556,0.265
5.3243255615234375,1.5407986111111112,0.265
5.424246549606323,1.5451388888888888,0.265
5.524475336074829,1.5494791666666665,0.265
5.623995065689087,1.5559895833333333,0.265
5.661286354064941,1.5559895833333333,0.273
5.681246042251587,1.558159722222222,0.289
5.697388172149658,1.558159722222222,0.313
5.713295221328735,1.558159722222222,0.353
5.72366189956665,1.558159722222222,0.353
5.725480318069458,1.558159722222222,0.401
5.7412309646606445,1.558159722222222,0.488
5.757264852523804,1.558159722222222,0.584
5.777282238006592,1.558159722222222,0.664
5.785119295120239,1.558159722222222,0.791
5.801203966140747,1.558159722222222,0.919
5.817357778549194,1.558159722222222,1.014
5.824395656585693,1.558159722222222,1.014
5.837456464767456,1.5603298611111112,1.086
5.853477716445923,1.5625,1.158
5.869430780410767,1.5625,1.229
5.89759373664856,1.5625,1.285
5.909450054168701,1.5625,1.333
5.917316675186157,1.5625,1.381
5.930565357208252,1.5625,1.381
5.932836055755615,1.5625,1.428
5.949307203292847,1.5625,1.46
5.961497068405151,1.5625,1.492
5.977673292160034,1.5646701388888888,1.5
6.024560928344727,1.5646701388888888,1.5
6.124457597732544,1.5755208333333333,1.5
6.224585294723511,1.5842013888888888,1.5
6.32398533821106,1.6189236111111112,1.5
6.424077033996582,1.6666666666666665,1.5
6.524625539779663,1.7404513888888888,1.5
6.624980926513672,1.831597222222222,1.5
6.725066900253296,1.9314236111111112,1.5
6.823925495147705,2.0442708333333335,1.5
6.929957151412964,2.2005208333333335,1.5
7.023810386657715,2.302517361111111,1.5
7.124234437942505,2.443576388888889,1.5
7.223891973495483,2.5933159722222223,1.5
7.323895454406738,2.7473958333333335,1.5
7.423849105834961,2.9036458333333335,1.5
7.524223804473877,3.059895833333333,1.5
7.624576091766357,3.224826388888889,1.5
7.72517728805542,3.381076388888889,1.5
7.823983430862427,3.5438368055555554,1.5
7.927264928817749,3.723958333333333,1.5
8.02410101890564,3.8433159722222223,1.5
8.123918056488037,3.977864583333333,1.5
8.224271059036255,4.118923611111111,1.5
8.323961019515991,4.242621527777778,1.5
8.424174070358276,4.361979166666667,1.5
8.524282455444336,4.500868055555555,1.5
8.624368667602539,4.624565972222222,1.5
8.724299907684326,4.743923611111111,1.5
8.824880361557007,4.86328125,1.5
8.928794384002686,4.993489583333333,1.5
9.024280071258545,5.093315972222222,1.5
9.12490177154541,5.206163194444445,1.5
9.224145889282227,5.325520833333333,1.5
9.324394941329956,5.453559027777778,1.5
9.424585819244385,5.575086805555555,1.5
9.525023698806763,5.679253472222222,1.5
9.624682664871216,5.789930555555555,1.5
