time,velocity_x,acceleration
0.0,9.984375,-0.531
0.020766019821166992,9.953125,-0.531
0.03929448127746582,9.921875,-0.531
0.060027360916137695,9.9140625,-0.531
0.08004188537597656,9.8671875,-0.531
0.10009336471557617,9.8515625,-0.531
0.12011313438415527,9.8125,-0.531
0.13930726051330566,9.796875,-0.531
0.15930676460266113,9.7734375,-0.531
0.18009591102600098,9.7421875,-0.531
0.2001664638519287,9.703125,-0.531
0.22015023231506348,9.6875,-0.531
0.23937320709228516,9.640625,-0.531
0.2601466178894043,9.6171875,-0.531
0.2802281379699707,9.6015625,-0.531
0.3002004623413086,9.546875,-0.531
0.3202059268951416,9.546875,-0.531
0.3396775722503662,9.5078125,-0.531
0.3594489097595215,9.4765625,-0.531
0.3801712989807129,9.4453125,-0.531
0.40018177032470703,9.421875,-0.531
0.4202127456665039,9.390625,-0.531
0.4394645690917969,9.3515625,-0.531
0.46028995513916016,9.328125,-0.531
0.48021674156188965,9.3203125,-0.531
0.5002365112304688,9.265625,-0.531
0.5202362537384033,9.2421875,-0.531
0.5394928455352783,9.1796875,-0.531
0.560248851776123,9.15625,-0.531
0.5802416801452637,9.1484375,-0.531
0.6001472473144531,9.1328125,-0.531
0.620152473449707,9.0859375,-0.531
0.6402261257171631,9.0625,-0.531
0.6602232456207275,9.0390625,-0.531
0.680109977722168,9.0078125,-0.531
0.7001016139984131,8.984375,-0.531
0.7203598022460938,8.9609375,-0.531
0.7392871379852295,8.9375,-0.531
0.7600476741790771,8.90625,-0.531
0.780055046081543,8.859375,-0.531
0.8001434803009033,8.828125,-0.531
0.8204936981201172,8.8125,-0.531
0.8403096199035645,8.78125,-0.531
0.8602757453918457,8.765625,-0.531
0.8801827430725098,8.7265625,-0.531
0.900179386138916,8.6796875,-0.531
0.9202117919921875,8.6640625,-0.531
0.9401860237121582,8.6484375,-0.531
0.9602742195129395,8.609375,-0.531
0.980217695236206,8.59375,-0.531
1.0002319812774658,8.5390625,-0.531
1.0204477310180664,8.5234375,-0.531
1.04017972946167,8.484375,-0.531
1.0602247714996338,8.4609375,-0.531
1.0802326202392578,8.421875,-0.531
1.1002540588378906,8.4140625,-0.531
1.120455265045166,8.3984375,-0.531
1.139456033706665,8.3515625,-0.531
1.1603055000305176,8.3359375,-0.531
1.1803417205810547,8.28125,-0.531
1.2003352642059326,8.265625,-0.531
1.220320224761963,8.2421875,-0.531
1.2402431964874268,8.2265625,-0.531
1.2603697776794434,8.171875,-0.531
1.2803256511688232,8.140625,-0.531
1.3002979755401611,8.1015625,-0.531
1.3203420639038086,8.0703125,-0.531
1.3398358821868896,8.046875,-0.531
1.3603358268737793,8.03125,-0.531
1.380556583404541,7.984375,-0.531
1.4003264904022217,7.96875,-0.531
1.4203619956970215,7.9296875,-0.531
1.4404025077819824,7.90625,-0.531
1.4603629112243652,7.8671875,-0.531
1.4803709983825684,7.84375,-0.531
1.5003724098205566,7.8046875,-0.531
1.520707368850708,7.78125,-0.531
1.5399715900421143,7.7421875,-0.531
1.5603985786437988,7.71875,-0.531
1.5803782939910889,7.6796875,-0.531
1.600454330444336,7.65625,-0.531
1.6204843521118164,7.625,-0.531
1.6404268741607666,7.59375,-0.531
1.6605281829833984,7.546875,-0.531
1.6802146434783936,7.5234375,-0.531
1.7002758979797363,7.4921875,-0.531
1.7202496528625488,7.46875,-0.531
1.7405412197113037,7.421875,-0.499
1.760270357131958,7.3984375,-0.443
1.780261516571045,7.3671875,-0.419
1.8005430698394775,7.3359375,-0.388
1.8205242156982422,7.296875,-0.356
1.840550184249878,7.28125,-0.3
1.8603079319000244,7.2421875,-0.284
1.8802518844604492,7.2109375,-0.268
1.9004063606262207,7.1796875,-0.244
1.9206438064575195,7.1484375,-0.228
1.9406065940856934,7.109375,-0.22
1.9603443145751953,7.1015625,-0.204
1.9803617000579834,7.0625,-0.196
2.0003561973571777,7.046875,-0.196
2.020843744277954,7.0078125,-0.196
2.0404114723205566,6.9921875,-0.188
2.0604238510131836,6.9296875,-0.188
2.0803446769714355,6.9296875,-0.188
2.1004340648651123,6.890625,-0.188
2.120374917984009,6.859375,-0.188
2.1403815746307373,6.8515625,-0.188
2.1604716777801514,6.8125,-0.188
2.1804234981536865,6.78125,-0.188
2.2005879878997803,6.7578125,-0.188
2.220489978790283,6.7265625,-0.188
2.240452527999878,6.703125,-0.188
2.26047945022583,6.65625,-0.188
2.2804250717163086,6.6484375,-0.188
2.300543785095215,6.609375,-0.188
2.3205313682556152,6.5859375,-0.188
2.340486526489258,6.546875,-0.188
2.360470771789551,6.53125,-0.188
2.380537986755371,6.5078125,-0.188
2.400601863861084,6.484375,-0.188
2.4207682609558105,6.4453125,-0.188
2.4405357837677,6.421875,-0.188
2.460599899291992,6.4140625,-0.188
2.480567455291748,6.3671875,-0.188
2.500669240951538,6.34375,-0.188
2.520624876022339,6.3203125,-0.188
2.540691375732422,6.3046875,-0.188
2.560701847076416,6.2578125,-0.188
2.5805647373199463,6.234375,-0.188
2.600623607635498,6.21875,-0.188
2.620605230331421,6.171875,-0.188
2.640625,6.1640625,-0.188
2.660564661026001,6.1328125,-0.188
2.6806390285491943,6.1015625,-0.188
2.700695037841797,6.0703125,-0.188
2.7210142612457275,6.0546875,-0.188
2.739997625350952,6.0234375,-0.173
2.7607431411743164,5.984375,-0.173
2.780684471130371,5.9765625,-0.093
2.800692319869995,5.9375,-0.053
2.820774793624878,5.9140625,-0.013
2.8405613899230957,5.8984375,0.058
2.8604743480682373,5.875,0.09
2.8807430267333984,5.8359375,0.122
