Car.CFL.Tire.FrcC.x,Car.CFL.Tire.FrcC.y,Car.CFL.Tire.FrcC.z,Car.CFR.Tire.FrcC.x,Car.CFR.Tire.FrcC.y,Car.CFR.Tire.FrcC.z,Car.CRL.Tire.FrcC.x,Car.CRL.Tire.FrcC.y,Car.CRL.Tire.FrcC.z,Car.CRR.Tire.FrcC.x,Car.CRR.Tire.FrcC.y,Car.CRR.Tire.FrcC.z,Car.LongSlipFL,Car.LongSlipFR,Car.LongSlipRL,Car.LongSlipRR,Car.SlipAngleFL,Car.SlipAngleFR,Car.SlipAngleRL,Car.SlipAngleRR,Car.Yaw,Car.YawRate,Car.ax,Car.ay,Car.az,Car.vx,Car.vy,Car.vz,DM.Gas,Driver.Gas,Steer.WhlAng,Time,Vhcl.FL.rotv,Vhcl.FL.rz,Vhcl.FR.rotv,Vhcl.FR.rz,Vhcl.RL.rotv,Vhcl.RL.rz,Vhcl.RR.rotv,Vhcl.RR.rz
C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
N,N,N,N,N,N,N,N,N,N,N,N,,,,,rad,rad,rad,rad,rad,rad/s,m/s^2,m/s^2,m/s^2,m/s,m/s,m/s,,,rad,s,rad/s,rad,rad/s,rad,rad/s,rad,rad/s,rad
169.8803558,689.7942505,5911.217285,176.6082458,-430.4978333,6040.101562,529.9703979,35.87485123,4122.509277,516.0195923,127.9219437,4250.098145,-0.0004185839207,-0.0004190487962,0.004444526043,0.00434640795,-0.002699857578,0.0002234133426,0.001766740577,-0.003535512136,2.267441273,-0.0003181957291,0.5381647944,-0.01654785126,0.02678368054,0.04318486899,-0.006148867309,0.0007993195322,0,0,3.933475455E-05,0.081,0.1409838498,-0.002021327149,0.1466083825,0.002015799982,0.2986721694,-0.003000000026,0.2818575203,0.003000000026
169.8260345,718.2445679,5879.818359,177.7605591,-446.9598694,6030.27832,504.9905701,0.6001704931,4133.559082,489.1855774,168.2674866,4276.665527,-0.0004167128354,-0.0004183994606,0.00440627709,0.004297647625,-0.002879312262,0.0004045716196,0.002165094949,-0.003820763202,2.267438173,-0.0003275626805,0.5189089775,-0.008854790591,0.02236762829,0.04847722128,-0.006255468819,0.0009172579739,0,0,3.933475455E-05,0.091,0.1571906805,-0.002041635569,0.1631319374,0.002024431247,0.31338799,-0.003000000026,0.2953103185,0.003000000026
169.0322571,739.765686,5851.814453,178.1123657,-462.5509644,6022.464844,516.4978027,-31.10747719,4145.696777,498.2339478,201.8325043,4302.911621,-0.0004166364961,-0.0004189568572,0.004503649194,0.004380025901,-0.003051322419,0.0005128266639,0.002417822136,-0.004125021398,2.267434835,-0.0003146890085,0.532610476,-0.002931251889,0.02002212964,0.05374135822,-0.00630101515,0.001036805916,0,0,3.933475455E-05,0.101,0.1728942096,-0.002062546322,0.1791218221,0.002032968448,0.3309559822,-0.003000000026,0.3118831515,0.003000000026
168.3806305,759.6983032,5827.089355,178.6968842,-471.7256775,6016.859375,517.3937988,-54.1061821,4154.26123,496.90802,234.0128326,4325.109375,-0.0004146153224,-0.0004170278844,0.004455339629,0.004324074369,-0.003221921856,0.0005438319058,0.002578056417,-0.00441099843,2.267431736,-0.0003000873548,0.5352182388,0.008319279179,0.0205676239,0.05911397189,-0.006272391416,0.001156834653,0,0,3.933475455E-05,0.111,0.1886886805,-0.00208365405,0.1950609982,0.002041279571,0.3435406983,-0.003000000026,0.3240540624,0.003000000026
168.000351,775.102356,5805.835938,179.5016632,-475.681427,6013.561035,511.295929,-71.23407745,4159.616211,488.7828979,259.3501587,4343.574219,-0.0004131089954,-0.0004159816308,0.004435930867,0.004295553546,-0.00331004383,0.000551361707,0.002710300731,-0.004561004695,2.267428875,-0.0002894813078,0.5315465927,0.01803152263,0.01840274595,0.06446184218,-0.006133134477,0.001276022405,0,0,3.933475455E-05,0.121,0.2040806562,-0.002104535932,0.2104034275,0.002049209084,0.3575937748,-0.003000000026,0.3378840089,0.003000000026
167.5679016,783.5636597,5788.516602,180.1332092,-475.7084656,6012.455566,513.0175171,-82.84179688,4163.099121,488.4771118,275.3348083,4358.943359,-0.0004125055275,-0.0004159097152,0.004456948489,0.004305751063,-0.003336404683,0.0005201599561,0.002765147947,-0.004630950745,2.267426014,-0.0002726461389,0.5346838832,0.02498998865,0.01616274938,0.0698010698,-0.005908143707,0.001392407925,0,0,3.933475455E-05,0.131,0.219219625,-0.002124809194,0.2253854722,0.002056619618,0.3726605177,-0.003000000026,0.3529374003,0.003000000026
167.230957,786.4744263,5775.118164,180.7994537,-470.5729675,6013.374512,513.612915,-86.63925934,4163.987793,487.2009277,284.4023132,4370.487305,-0.0004116413766,-0.0004153274931,0.004449794069,0.004290117882,-0.003323551966,0.0004335132544,0.002725763945,-0.004649409093,2.267423391,-0.0002508450416,0.536136806,0.03242950141,0.0145657314,0.07516672462,-0.005615176633,0.001504198299,0,0,3.933475455E-05,0.141,0.2343198359,-0.00214416231,0.2402394563,0.002063426422,0.3867180347,-0.003000000026,0.3673240542,0.003000000026
167.0263672,783.8414307,5765.525879,181.5127563,-460.390686,6016.141113,512.4368896,-83.19602966,4162.40625,484.3718262,286.0413208,4378.362305,-0.0004109121219,-0.0004148993758,0.004445470404,0.004277784843,-0.003254055278,0.0003094782296,0.002627695212,-0.004580385983,2.267421007,-0.000229061654,0.535656333,0.0389698483,0.01240578759,0.08053121716,-0.005252134986,0.001609742758,0,0,3.933475455E-05,0.151,0.2493443638,-0.002162325894,0.2549080551,0.002069567097,0.4009778202,-0.003000000026,0.3821434379,0.003000000026
166.8865814,775.3460083,5759.644531,182.168869,-445.9567566,6020.491211,512.9493408,-73.5451889,4158.95166,483.3969116,279.8006897,4382.935059,-0.0004105162516,-0.0004148081644,0.004452131689,0.004276506137,-0.003134516068,0.0001510920119,0.002468663966,-0.004442702979,2.267418861,-0.0002057192178,0.5363729596,0.04393179715,0.01016321685,0.08589266986,-0.00483143935,0.00170749228,0,0,3.933475455E-05,0.161,0.2643509805,-0.002179078991,0.2694761455,0.002075006021,0.4155535996,-0.003000000026,0.3974757791,0.003000000026
166.8304596,761.763916,5757.225586,182.7994843,-427.4724731,6026.131836,513.5481567,-57.8156662,4153.79834,482.7198181,267.1137085,4384.347168,-0.0004101886007,-0.0004146840656,0.004454183858,0.00427183928,-0.002976037562,-4.125598207E-05,0.00225092168,-0.004255721346,2.267416954,-0.0001813466952,0.5367810726,0.04821197689,0.008149961941,0.09125844389,-0.004366149195,0.001796311699,0,0,3.933475455E-05,0.171,0.2794268429,-0.002194258384,0.2840487063,0.002079741098,0.4299784601,-0.003000000026,0.4128684998,0.003000000026
166.8681488,743.6069336,5757.958008,183.4057922,-405.5410461,6032.753906,513.7754517,-37.08547211,4147.273438,481.8920593,248.7318573,4382.928711,-0.000409938948,-0.0004146210267,0.004456437659,0.004268196411,-0.00277937483,-0.0002575571707,0.001995144645,-0.004018578678,2.267415285,-0.0001578517113,0.5365678072,0.05137312412,0.006172396243,0.09662237763,-0.003864204744,0.00187557505,0,0,3.933475455E-05,0.181,0.2945982218,-0.002207749989,0.2986568511,0.002083793748,0.4444693327,-0.003000000026,0.4284900427,0.003000000026
166.9795227,721.4163208,5761.510742,183.9595795,-380.882843,6040.037598,514.369812,-12.5364399,4139.839355,481.65979,225.5698242,4379.10791,-0.0004098160134,-0.0004146562424,0.00446158275,0.004269457888,-0.002552714664,-0.0004930398427,0.001709151664,-0.00374773331,2.267413855,-0.0001353160769,0.5364678502,0.05336985737,0.004352561664,0.1019822806,-0.003337267553,0.001945174881,0,0,3.933475455E-05,0.191,0.3098955154,-0.002219487214,0.3133481145,0.00208720658,0.4590927362,-0.003000000026,0.4444158673,0.003000000026
167.1597595,695.9927979,5767.501465,184.4608154,-354.112915,6047.67334,515.0333862,14.80860901,4131.855469,481.7385559,199.026001,4373.285156,-0.0004097373749,-0.000414694252,0.004466298036,0.004270939156,-0.002303469693,-0.0007415959844,0.00140521361,-0.003456629813,2.267412663,-0.0001144192793,0.5362461209,0.054446619,0.002833583159,0.1073393226,-0.002795975422,0.002005611779,0,0,3.933475455E-05,0.201,0.3253541887,-0.002229449106,0.3281713724,0.002090040362,0.4737577736,-0.003000000026,0.4604747593,0.003000000026
